ADM0_CODE;ADM0;ADM1_CODE;ADM1;ADM2_CODE;ADM2;AREA_SQKM;ROAD_DENSITY;POPULATION;GDP_2019;GDP_2022;LAND_USE;DISASTERS
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9350;El Ayote;826,4341489;0,08054897;21138,59824;3289;3522;2;1
NI;Nicaragua;NI25;Estelí;NI2505;Pueblo Nuevo;198,602828;0,084337235;24901,62294;4271;4768;11;10
NI;Nicaragua;NI80;Rivas;NI8050;Cárdenas;232,0883461;0,266640828;12609,00427;3723;3911;2;3
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9316;El Tortuguero;3081,700454;0,046681932;80818,34997;3440;3697;2;1
NI;Nicaragua;NI30;Chinandega;NI3005;San Pedro del Norte;70,62294157;0,080778112;8962,592605;3995;4392;11;1
NI;Nicaragua;NI60;Masaya;NI6015;Tisma;126,1801789;0,119798594;12899,78265;4450;5072;5;1
NI;Nicaragua;NI40;Matagalpa;NI4030;Matagalpa;643,9265627;0,156454663;189061,5056;7268;7863;11;34
NI;Nicaragua;NI30;Chinandega;NI3055;Corinto;41,1926864;0,019063264;12900,96607;5559;5914;2;13
NI;Nicaragua;NI40;Matagalpa;NI4050;Esquipulas;219,95763;0,113709184;16887,65613;3024;3046;2;3
NI;Nicaragua;NI60;Masaya;NI6040;San Juan de Oriente;9,207607004;0,327607207;9019,024985;3759;4099;2;2
NI;Nicaragua;NI05;Nueva Segovia;NI0560;Wiwilí de Nueva Segovia;406,328763;0,153330777;27361,76369;3075;3345;2;0
NI;Nicaragua;NI80;Rivas;NI8025;Moyogalpa;64,79034982;0,274410934;10809,22435;3813;4104;5;1
NI;Nicaragua;NI35;León;NI3540;León;807,9340127;0,179946124;196443,2156;5060;5242;5;57
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9315;Laguna de Perlas;2044,028677;0,005802165;23051,23814;3216;3468;2;7
NI;Nicaragua;NI25;Estelí;NI2520;San Juan de Limay;437,1066034;0,129426412;16217,69579;3725;4153;11;16
NI;Nicaragua;NI25;Estelí;NI2525;La Trinidad;276,9067177;0,137819335;21433,90189;4426;4450;11;2
NI;Nicaragua;NI20;Madriz;NI2025;Palacagüina;165,3964737;0,171520854;15245,84686;3591;4044;11;2
NI;Nicaragua;NI10;Jinotega;NI1030;La Concordia;148,9273035;0,175274626;6640,564256;4107;4931;11;1
NI;Nicaragua;NI10;Jinotega;NI1020;San Rafael del Norte;239,7838814;0,160004728;27222,17277;2556;2798;2;8
NI;Nicaragua;NI75;Carazo;NI7510;Jinotepe;286,9177192;0,085978454;52340,74186;6101;6683;11;10
NI;Nicaragua;NI80;Rivas;NI8015;Potosí;146,1890624;0,102073388;13925,77136;3437;4062;5;4
NI;Nicaragua;NI30;Chinandega;NI3050;El Realejo;100,9395091;0,158563483;9993,633676;3453;3712;5;4
NI;Nicaragua;NI70;Granada;NI7010;Diriomo;53,06716759;0,316128664;25418,70088;4427;4897;2;1
NI;Nicaragua;NI55;Managua;NI5545;El Crucero;223,6990232;0,14788765;105857,3496;9202;9823;2;1
NI;Nicaragua;NI40;Matagalpa;NI4035;San Ramón;424,7863184;0,182717276;53347,41364;3702;4043;2;9
NI;Nicaragua;NI50;Boaco;NI5010;Boaco;1084,861145;0,105270583;59663,68371;3997;4408;2;17
NI;Nicaragua;NI40;Matagalpa;NI4045;Muy Muy;375,6336406;0,071337296;19835,81524;2768;3028;2;1
NI;Nicaragua;NI35;León;NI3510;El Sauce;694,298307;0,131443351;32176,25929;4525;5006;11;10
NI;Nicaragua;NI35;León;NI3550;Nagarote;606,5744059;0,173113742;36510,56387;3831;4231;11;17
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9312;Desembocadura de Río Grande;1772,018333;0,034001713;4100,953284;3216;3468;2;2
NI;Nicaragua;NI70;Granada;NI7015;Granada;612,0275437;0,184339974;115427,1662;4618;4956;2;44
NI;Nicaragua;NI55;Managua;NI5525;Managua;269,8477647;0,197695324;43021,10241;9202;9823;7;168
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9335;Corn Island;18,56913498;0;62951,22516;3216;3468;1;1
NI;Nicaragua;NI10;Jinotega;NI1012;San José de Bocay;3900,21373;0,02236956;84425,92223;3813;4104;2;0
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9110;Puerto Cabezas;6006,858678;0,086454581;116198,4799;3383;3943;11;0
NI;Nicaragua;NI25;Estelí;NI2515;Estelí;789,6480973;0,140954227;150608,3241;5189;5773;11;37
NI;Nicaragua;NI60;Masaya;NI6010;Masaya;146,5757675;0,095293053;179983,9486;8629;9546;7;31
NI;Nicaragua;NI30;Chinandega;NI3020;Santo Tomás del Norte;40,77343564;0,378421233;8212,950648;4028;4397;11;2
NI;Nicaragua;NI50;Boaco;NI5015;Camoapa;1486,756924;0,133588315;40707,32423;3813;4104;2;9
NI;Nicaragua;NI80;Rivas;NI8005;Tola;473,8846903;0,152389747;25608,36904;4239;4255;11;11
NI;Nicaragua;NI80;Rivas;NI8035;San Jorge;24,84096875;0,139676382;9113,737812;3066;3466;11;3
NI;Nicaragua;NI40;Matagalpa;NI4060;Terrabona;244,3169303;0,104838802;16780,55864;2795;3197;11;3
NI;Nicaragua;NI20;Madriz;NI2045;San José de Cusmapa;129,8539788;0,169311936;8268,46223;3074;3624;11;6
NI;Nicaragua;NI20;Madriz;NI2035;San Lucas;153,6936729;0,094968401;14723,449;3716;4049;11;4
NI;Nicaragua;NI25;Estelí;NI2510;Condega;402,4867457;0,092582202;39474,55304;3906;4253;11;8
NI;Nicaragua;NI20;Madriz;NI2015;Telpaneca;353,6252178;0,151101799;28740,35323;3357;3184;11;5
